play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
662,2022_05_DAL_LA,8,M. Gay,29,Good,9.25,7.2,32,LA,DAL,2022-10-09,1,325,10,"(5:25) 8-M.Gay 29 yard field goal is GOOD, Center-42-M.Orzech, Holder-11-R.Dixon."
2254,2022_05_DAL_LA,19,B. Maher,40,Good,-9.25,1.6,29.7,DAL,LA,2022-10-09,3,495,22,"(8:15) 19-B.Maher 40 yard field goal is GOOD, Center-45-M.Overton, Holder-5-B.Anger."
2781,2022_05_DAL_LA,8,M. Gay,51,No Good,9.25,10.8,26.8,LA,DAL,2022-10-09,4,818,33,"(13:38) 8-M.Gay 51 yard field goal is No Good, Wide Right, Center-42-M.Orzech, Holder-11-R.Dixon."
3166,2022_05_DAL_LA,19,B. Maher,36,Good,-9.25,-0.3,28.9,DAL,LA,2022-10-09,4,336,17,"(5:36) 19-B.Maher 36 yard field goal is GOOD, Center-45-M.Overton, Holder-5-B.Anger."
333,2022_05_DET_NE,6,N. Folk,37,Good,9.25,-5.1,24,NE,DET,2022-10-09,1,530,19,"(8:50) 6-N.Folk 37 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey. NE 6-Folk 59th consecutive FG under 50 yds, extends NFL record."
782,2022_05_DET_NE,6,N. Folk,32,Good,9.25,-4.9,32.3,NE,DET,2022-10-09,2,859,14,"(14:19) 6-N.Folk 32 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
1717,2022_05_DET_NE,6,N. Folk,44,Good,-9.25,0.5,27.8,NE,DET,2022-10-09,2,5,26,"(:05) 6-N.Folk 44 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
1993,2022_05_DET_NE,6,N. Folk,37,Good,-9.25,-5.4,27.8,NE,DET,2022-10-09,3,613,19,"(10:13) 6-N.Folk 37 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
3262,2022_05_DET_NE,6,N. Folk,29,Good,9.25,6,19.5,NE,DET,2022-10-09,4,305,11,"(5:05) 6-N.Folk 29 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
845,2022_05_HOU_JAX,10,R. Patterson,26,Good,-3,-0.1,26.9,JAX,HOU,2022-10-09,1,85,8,"(1:25) 10-R.Patterson 26 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke."
1065,2022_05_HOU_JAX,7,K. Fairbairn,50,Good,0,-6.4,29.3,HOU,JAX,2022-10-09,2,749,31,"(12:29) 7-K.Fairbairn 50 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston."
1505,2022_05_HOU_JAX,7,K. Fairbairn,51,Good,-9.25,-4.3,25.3,HOU,JAX,2022-10-09,2,208,33,"(3:28) 7-K.Fairbairn 51 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston."
1916,2022_05_HOU_JAX,10,R. Patterson,45,Good,0,-1.9,29.9,JAX,HOU,2022-10-09,2,11,26,"(:11) 10-R.Patterson 45 yard field goal is GOOD, Center-46-R.Matiscik, Holder-9-L.Cooke. Penalty on HOU-1-T.Smith, Defensive Offside, declined."
879,2022_05_LAC_CLE,12,T. Bertolet,28,Good,1,-0.3,24.9,LAC,CLE,2022-10-09,1,150,9,"(2:30) 12-T.Bertolet 28 yard field goal is GOOD, Center-47-J.Harris, Holder-16-J.Scott."
